curl_version,curl_release_date,nixpkgs_commit,nixpkgs_commit_date
8.20.0,Apr 29 2026,,
8.19.0,Mar 11 2026,df6cab7c12820f42c8b586be4ad87d900475b0be,2026-03-11
8.18.0,Jan 7 2026,c81d7b2acdbd6ba81a7fcf92c743c143d0c93ac2,2026-01-07
8.17.0,Nov 5 2025,d6681923240fbd2b44baf680c6ff743a89840022,2025-11-05
8.16.0,Sep 10 2025,fc43376598ebb7b04609547556954fd20a27aec1,2025-09-10
8.15.0,Jul 16 2025,,
8.14.1,Jun 4 2025,97d8e6bde3d115ec689b87582f0cb9de2118d686,2025-06-08
8.14.0,May 28 2025,a6bd2d6bcbf7e9bdc0451e58b9c89397af74a979,2025-05-29
8.13.0,Apr 2 2025,980d71039d2fb7a7dabc84bd95df064f23072338,2025-04-12
8.12.1,Feb 13 2025,b58db91905cbc253218532bb9feb55addc9d47b5,2025-02-13
8.12.0,Feb 5 2025,b158812f3b9f787f3023c5bf207c34a347e55019,2025-02-07
8.11.1,Dec 11 2024,f7b4d46f4829290b1407c5f5055047c7f3d94047,2024-12-11
8.11.0,Nov 6 2024,ce788776a53b83ff238e8ca24e6baafe3a5d188e,2024-11-09
8.10.1,Sep 18 2024,571c71e6f73af34a229414f51585738894211408,2024-11-09
8.10.0,Sep 11 2024,,
8.9.1,Jul 31 2024,bd046906766161a33c6d7fc393deab687b0fe8bc,2024-08-09
8.9.0,Jul 24 2024,89b8ad6898068a2c9b78a9936a0fd50833b4cc5a,2024-07-24
8.8.0,May 22 2024,437506429acfb3b77e7b9acd29d83e372e615e85,2024-05-22
8.7.1,Mar 27 2024,2e4e6618cb8695b42c8cc63d0facb4b8f459017b,2024-04-02
8.7.0,Mar 27 2024,,
8.6.0,Jan 31 2024,d4f4956702bb93948654a7fb9183900fb9a1ac40,2024-01-31
8.5.0,Dec 6 2023,7be9f0f52630eec0bd9026ff0e0e31c8116ac7b2,2023-12-08
8.4.0,Oct 11 2023,9dd00ef189811aaee8df323edaaa652381597802,2023-10-11
8.3.0,Sep 13 2023,a68ceade950265539c38acbb52f5773ca82e3bc1,2023-09-13
8.2.1,Jul 26 2023,b79effa1bd12557eeb4fe42e7c7ae6cbf9a2edd7,2023-07-26
8.2.0,Jul 19 2023,eb9357ac4b3fecaa1155ce0a8dda3757c49e5c0c,2023-07-19
8.1.2,May 30 2023,c57c018132d653669bd242e95cac57061208d9f0,2023-06-28
8.1.1,May 23 2023,f6d2c6a13168d3ad516d73b9d97315878f4a9b36,2023-05-25
8.1.0,May 17 2023,,
8.0.1,Mar 20 2023,280f14490eeff5285e9f5e79b81869ce720546db,2023-03-20
8.0.0,Mar 20 2023,,
7.88.1,Feb 20 2023,6da9d0f34af9212af914ea0685e31952faec24e1,2023-02-21
7.88.0,Feb 15 2023,8ea81a949a8a408cc901ccef5af06d4cf4109e24,2023-02-15
7.87.0,Dec 21 2022,c44fb852ce2cf9edff9a8825419a820fc80884d8,2022-12-21
7.86.0,Oct 26 2022,e8b747b3cdd1ee5d6a35f634f5ea8be2da74b782,2022-10-26
7.85.0,Aug 31 2022,0f64ae72eae13bff1d1d5d8b50ea6932c172a1ef,2022-09-03
